report_file,line_number,code,x,y,message,context
reports\dh_auto_via_cases.drc.rpt,13,DH,1000.00,1000.00,"Duplicate Drill Hole,(1000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1000.00 1000.00) (Net_A)""","Detailed DRC Errors | Constraint Name,DRC Marker Location,DRC Subclass,Required Value,Actual Value,Constraint Source,Constraint Source Type,Element 1,Element 2 | Duplicate Drill Hole,(1000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1000.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(1000.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1000.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1000.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(1500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10_Alt  (1500.00 1000.00) (Net_A)"""
reports\dh_auto_via_cases.drc.rpt,14,DH,1000.00,1500.00,"Duplicate Drill Hole,(1000.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1000.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1000.00 1500.00) (Net_A)""","Constraint Name,DRC Marker Location,DRC Subclass,Required Value,Actual Value,Constraint Source,Constraint Source Type,Element 1,Element 2 | Duplicate Drill Hole,(1000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1000.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(1000.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1000.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1000.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(1500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10_Alt  (1500.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(1500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)"""
reports\dh_auto_via_cases.drc.rpt,15,DH,1500.00,1000.00,"Duplicate Drill Hole,(1500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10_Alt  (1500.00 1000.00) (Net_A)""","Duplicate Drill Hole,(1000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1000.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(1000.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1000.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1000.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(1500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10_Alt  (1500.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(1500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_20  (2000.00 1000.00) (Net_A)"""
reports\dh_auto_via_cases.drc.rpt,16,DH,1500.00,1500.00,"Duplicate Drill Hole,(1500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)""","Duplicate Drill Hole,(1000.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1000.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1000.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(1500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10_Alt  (1500.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(1500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_20  (2000.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(2000.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)"""
reports\dh_auto_via_cases.drc.rpt,17,DH,2000.00,1000.00,"Duplicate Drill Hole,(2000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_20  (2000.00 1000.00) (Net_A)""","Duplicate Drill Hole,(1500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10_Alt  (1500.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(1500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_20  (2000.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(2000.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Npth_10  (2500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1000.00) (Net_A)"""
reports\dh_auto_via_cases.drc.rpt,18,DH,2000.00,1500.00,"Duplicate Drill Hole,(2000.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)""","Duplicate Drill Hole,(1500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (1500.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_20  (2000.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(2000.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Npth_10  (2500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(2500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)"""
reports\dh_auto_via_cases.drc.rpt,19,DH,2500.00,1000.00,"Duplicate Drill Hole,(2500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Npth_10  (2500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1000.00) (Net_A)""","Duplicate Drill Hole,(2000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_20  (2000.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(2000.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Npth_10  (2500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(2500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2600.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2600.00 1000.00) (Net_A)"",Via ""Dh_Slot_Pth_10X30  (2600.00 1000.00) (Net_A)"""
reports\dh_auto_via_cases.drc.rpt,20,DH,2500.00,1500.00,"Duplicate Drill Hole,(2500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)""","Duplicate Drill Hole,(2000.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2000.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Npth_10  (2500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(2500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2600.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2600.00 1000.00) (Net_A)"",Via ""Dh_Slot_Pth_10X30  (2600.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(2700.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Slot_Pth_10X30  (2700.00 1000.00) (Not On A Net)"",Via ""Dh_Slot_Pth_10X30  (2700.00 1000.00) (Not On A Net)"""
reports\dh_auto_via_cases.drc.rpt,21,DH,2600.00,1000.00,"Duplicate Drill Hole,(2600.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2600.00 1000.00) (Net_A)"",Via ""Dh_Slot_Pth_10X30  (2600.00 1000.00) (Net_A)""","Duplicate Drill Hole,(2500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Npth_10  (2500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(2500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2600.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2600.00 1000.00) (Net_A)"",Via ""Dh_Slot_Pth_10X30  (2600.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(2700.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Slot_Pth_10X30  (2700.00 1000.00) (Not On A Net)"",Via ""Dh_Slot_Pth_10X30  (2700.00 1000.00) (Not On A Net)"" | Duplicate Drill Hole,(3000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (3000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (3000.00 1000.00) (Net_B)"""
reports\dh_auto_via_cases.drc.rpt,22,DH,2700.00,1000.00,"Duplicate Drill Hole,(2700.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Slot_Pth_10X30  (2700.00 1000.00) (Not On A Net)"",Via ""Dh_Slot_Pth_10X30  (2700.00 1000.00) (Not On A Net)""","Duplicate Drill Hole,(2500.00 1500.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (2500.00 1500.00) (Net_A)"" | Duplicate Drill Hole,(2600.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (2600.00 1000.00) (Net_A)"",Via ""Dh_Slot_Pth_10X30  (2600.00 1000.00) (Net_A)"" | Duplicate Drill Hole,(2700.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Slot_Pth_10X30  (2700.00 1000.00) (Not On A Net)"",Via ""Dh_Slot_Pth_10X30  (2700.00 1000.00) (Not On A Net)"" | Duplicate Drill Hole,(3000.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (3000.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (3000.00 1000.00) (Net_B)"" | Duplicate Drill Hole,(3500.00 1000.00),ALL,FALSE,TRUE,NONE,DESIGN,Via ""Dh_Rnd_Pth_10  (3500.00 1000.00) (Net_A)"",Via ""Dh_Rnd_Pth_10  (3500.00 1000.00) (Net_A)"""
