cell_id,x,y,obj_a,obj_b,dbid_a,dbid_b,label
R0C0,150,240,DHS_RND_PTH_025,DHS_RND_PTH_025,(dbid:000001C3D3342F10 nil),(dbid:000001C3D3342FD0 t),via-via same
R0C1,186,240,PIN,VIA,dbid:000001C3D3347EB0,(dbid:000001C3D334AF00 t),via-pin real pin
R0C2,222,240,DHS_RND_PTH_025,DHS_RND_PTH_025_ALT,(dbid:000001C3D334B688 nil),(dbid:000001C3D334B748 t),diff padstack
R0C3,258,240,DHS_RND_PTH_025,DHS_RND_PTH_050,(dbid:000001C3D334BAA0 nil),(dbid:000001C3D334BB60 t),diff hole dia
R0C4,294,240,DHS_RND_PTH_025,DHS_RND_NPTH_025,(dbid:000001C3D334BEB8 nil),(dbid:000001C3D334BF78 t),PTH vs NPTH
R1C0,330,240,DHS_RND_PTH_025,DHS_RND_PTH_025,(dbid:000001C3D334C300 nil),(dbid:000001C3D334C3C0 t),diff nets
R1C1,366,240,DHS_RND_PTH_025,DHS_RND_PTH_025,(dbid:000001C3D334C718 nil),(dbid:000001C3D334C7D8 t),one no-net
R1C2,402,240,DHS_RND_PTH_025,DHS_SLOT_PTH_025X075,(dbid:000001C3D334CB60 nil),(dbid:000001C3D334CC20 t),round vs slot
R1C3,150,208,DHS_SLOT_PTH_025X075,DHS_SLOT_PTH_025X075,(dbid:000001C3D334CFA8 nil),(dbid:000001C3D334D068 t),slot-slot
R1C4,186,208,DHS_RND_PTH_025,DHS_RND_PTH_025,(dbid:000001C3D334D3C0 nil),(dbid:000001C3D334D480 nil),NO DH: XY offset
R2C0,222,208,DHS_TOP_GND,DHS_TOP_GND,(dbid:000001C3D334D7B0 nil),(dbid:000001C3D334D870 t),same bb span
R2C1,258,208,DHS_RND_PTH_025,DHS_TOP_GND,(dbid:000001C3D334DBC8 nil),(dbid:000001C3D334DC88 t),thru vs bb overlap
R2C2,294,208,DHS_TOP_GND,DHS_TOP_INNER1,(dbid:000001C3D334E058 nil),(dbid:000001C3D334E118 nil),overlap spans
R2C3,330,208,DHS_TOP_INNER1,DHS_INNER1_BOTTOM,(dbid:000001C3D334E440 nil),(dbid:000001C3D334E500 nil),NO DH: endpoint
R2C4,366,208,DHS_RND_PTH_025,DHS_RND_PTH_025,(dbid:000001C3D334E828 nil),(dbid:000001C3D334E8E8 nil),NO DH: Y offset
R3C0,402,208,TRIPLE_VIA,DHS_RND_PTH_025+ALT+050,(dbid:000001C3D334EC10 nil),(dbid:000001C3D334ECD0 t);(dbid:000001C3D334EE30 t),3 vias same XY
R3C1,150,176,DHS_RND_PTH_025,DHS_RND_PTH_025,(dbid:000001C3D334F228 nil),(dbid:000001C3D334F2E8 nil),probe: X+0.001
R3C2,186,176,DHS_RND_PTH_025,DHS_RND_PTH_025,(dbid:000001C3D334F610 nil),(dbid:000001C3D334F6D0 t),probe: X+0.0001
R3C3,222,176,DHS_RND_NPTH_025,DHS_RND_NPTH_025,(dbid:000001C3D334FA28 nil),(dbid:000001C3D334FAE8 t),NPTH-NPTH
R3C4,258,176,DHS_SLOT_PTH_025X075,DHS_SLOT_PTH_035X075,(dbid:000001C3D334FE40 nil),(dbid:000001C3D334FF00 t),diff slot size
R4C0,294,176,DHS_TOP_GND,DHS_INNER2_BOTTOM,(dbid:000001C3D3350258 nil),(dbid:000001C3D3350318 nil),NO DH: disjoint span
R4C1,330,176,DHS_TOP_GND,DHS_GND_INNER2,(dbid:000001C3D33505D8 nil),(dbid:000001C3D3350698 nil),touch at GND
R4C2,366,176,DHS_GND_INNER2,DHS_INNER2_BOTTOM,(dbid:000001C3D33509C0 nil),(dbid:000001C3D3350A80 nil),touch at INNER2
R4C3,402,176,DHS_GND_POWER,DHS_INNER2_BOTTOM,(dbid:000001C3D3350DA8 nil),(dbid:000001C3D3350E68 t),span overlap
R4C4,150,144,DHS_TOP_INNER1,DHS_POWER_BOTTOM,(dbid:000001C3D33511C0 nil),(dbid:000001C3D3351280 nil),NO DH: split span
R5C0,186,144,PIN,VIA,dbid:000001C3D3351630,(dbid:000001C3D3354680 t),pin-via diff net
R5C1,222,144,PIN,VIA,dbid:000001C3D3354EF8,(dbid:000001C3D3357F48 t),pin-via no-net via
R5C2,258,144,DHS_RND_PTH_010,DHS_RND_PTH_050,(dbid:000001C3D3358700 nil),(dbid:000001C3D33587C0 t),tiny vs large drill
R5C3,294,144,DHS_RND_PTH_025,DHS_RND_PTH_025,(dbid:000001C3D3358B20 nil),(dbid:000001C3D3358BE0 t),both no-net vias
R5C4,330,144,DHS_RND_PTH_025,DHS_POWER_BOTTOM,(dbid:000001C3D3358F40 nil),(dbid:000001C3D3359000 t),thru vs lower bb
